obligation,domaine,libelle,periodicite,realisateurs,criticite,champ,conditions,rang,source,reference,article,url,versionConstatee,corpus,statutCorpus,lecture,luLe,versionEnVigueur,prescrit,verbatim,note,alertes
elec-travail-mise-en-service,electricite,Vérification initiale des installations électriques à la mise en service ou après modification,mise_en_service_uniquement,organisme_accredite,4,tout employeur,,fondement,CODE_TRAVAIL,R. 4226-14,R. 4226-14,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000022765072/,,code-travail-electricite,retenu,agent (verbatim non recoupé),2026-08-26,2011-07-01,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
elec-travail-mise-en-service,electricite,Vérification initiale des installations électriques à la mise en service ou après modification,mise_en_service_uniquement,organisme_accredite,4,tout employeur,,contexte 1,ARRETE,"Arrêté du 26 décembre 2011 (vérifications des installations électriques), art. 2 et 6",Arrêté 2011-12-26 art. 2,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000025046978,,arrete-2011-12-26-electricite,retenu,agent (verbatim non recoupé),2026-08-26,2011-12-30,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
elec-travail-periodique-annuelle,electricite,Vérification périodique annuelle des installations électriques (travail),annuelle,organisme_accredite ou personne_qualifiee,5,tout employeur,,fondement,CODE_TRAVAIL,R. 4226-16,R. 4226-16,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000022765070/,,code-travail-electricite,retenu,agent (verbatim non recoupé),2026-08-26,2011-07-01,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
elec-travail-periodique-annuelle,electricite,Vérification périodique annuelle des installations électriques (travail),annuelle,organisme_accredite ou personne_qualifiee,5,tout employeur,,contexte 1,ARRETE,"Arrêté du 26 décembre 2011 (vérifications des installations électriques), art. 3",Arrêté 2011-12-26 art. 3,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000025046978,,arrete-2011-12-26-electricite,retenu,agent (verbatim non recoupé),2026-08-26,2011-12-30,"SECOND RÉGIME NON PORTÉ, relevé le 2026-08-27. « Le délai entre deux vérifications peut être porté à deux ans par le chef d'établissement si le rapport précédent ne présente aucune observation ou si, avant l'échéance, le chef d'établissement a fait réaliser les travaux de mise en conformité. » Ce n'est ni automatique ni de droit acquis : il faut informer l'inspecteur du travail par lettre recommandée avec accusé de réception, pièces à l'appui. Sans doute à NE PAS encoder comme une périodicité — afficher deux ans sans trace de l'envoi afficherait une échéance qui n'existe pas.",,"L'article 3 fixe la périodicité à un an, puis ouvre une faculté que le référentiel ne portait pas : « Toutefois, le délai entre deux vérifications peut être porté à deux ans par le chef d'établissement si le rapport précédent ne présente aucune observation ou si, avant l'échéance, le chef d'établissement a fait réaliser les travaux de mise en conformité de nature à répondre aux observations contenues dans le rapport de vérification. » Le texte ne la subordonne pas à une autorisation : « Le chef d'établissement informe l'inspecteur du travail par lettre recommandée avec accusé de réception, accompagnée des éléments prouvant qu'il n'y a pas de non-conformité ou que les non-conformités ont été levées. Cet envoi doit comprendre, le cas échéant, l'avis des membres du CHSCT ou des délégués du personnel. » Constaté le 2026-08-26.",SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
elec-travail-consignation-registre,electricite,Consignation des rapports de vérification électrique au registre,autre,exploitant,3,tout employeur,,fondement,CODE_TRAVAIL,R. 4226-19,R. 4226-19,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000022765064/,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2011-07-01,,,,CORPUS_NE_RENVOIE_PAS SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
elec-travail-consignation-registre,electricite,Consignation des rapports de vérification électrique au registre,autre,exploitant,3,tout employeur,,contexte 1,CODE_TRAVAIL,L. 4711-5,L. 4711-5,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006903389/,,code-travail-incendie,retenu,agent (verbatim non recoupé),2026-08-26,2008-05-01,,,,CORPUS_NE_RENVOIE_PAS SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
elec-travail-habilitation-personnel,electricite,Habilitation électrique du personnel opérant sur ou à proximité d'installations électriques,triennale,exploitant,4,tout employeur,,fondement,CODE_TRAVAIL,R. 4544-9 à R. 4544-11,R. 4544-10,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000022849102/,,code-travail-electricite,retenu,agent (verbatim non recoupé),2026-08-26,2025-10-01,,,,PERIODICITE_SANS_TEXTE_PORTEUR SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
elec-travail-habilitation-personnel,electricite,Habilitation électrique du personnel opérant sur ou à proximité d'installations électriques,triennale,exploitant,4,tout employeur,,contexte 1,INRS,INRS ED 6127 « Habilitation électrique »,INRS ED 6127,https://www.inrs.fr/media.html?refINRS=ED%206127,,inrs-documentaire,sans_objet,première main,2026-08-26,,,,,VERSION_JAMAIS_CONSTATEE
elec-erp-mise-en-service,electricite,Vérification électrique à la mise en service ou après travaux (ERP),mise_en_service_uniquement,organisme_agree,5,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. GE 6 à GE 8 (vérifications par organismes agréés, rapport RVRAT)",GE 6,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020303884/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2007-11-19,,,,SANS_VERBATIM VERSION_FUTURE:2027-06-01 VERSION_JAMAIS_CONSTATEE
elec-erp-mise-en-service,electricite,Vérification électrique à la mise en service ou après travaux (ERP),mise_en_service_uniquement,organisme_agree,5,ERP,,contexte 1,ARRETE,"Arrêté du 25 juin 1980, art. EL 19 § 2 (installations neuves ou modifiées)",EL 19,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000021231068/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2010-01-23,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
elec-erp-cat1-4-annuelle,electricite,Vérification électrique annuelle (ERP 1ʳᵉ à 4ᵉ catégorie),annuelle,organisme_agree,5,ERP cat. N1/N2/N3/N4,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. EL 19 § 1 et § 2",EL 19,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000021231068/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2010-01-23,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
elec-erp-cat5-quinquennale,electricite,Vérification triennale des installations électriques (ERP 5ᵉ catégorie),triennale,personne_competente ou organisme_agree,4,ERP cat. N5,,fondement,ARRETE,"Arrêté du 22 juin 1990 (ERP 5ᵉ catégorie), art. PE 4 § 2, rédaction de l'arrêté du 1er décembre 2025",PE 4,https://www.legifrance.gouv.fr/codes/section_lc/JORFTEXT000000290033/LEGISCTA000020374770/,,arrete-1980-livre-3,obligation_manquante,agent (verbatim non recoupé),2026-08-26,2026-07-01,,,,FONDEMENT_NON_RETENU:obligation_manquante VERSION_JAMAIS_CONSTATEE
elec-erp-cat5-quinquennale,electricite,Vérification triennale des installations électriques (ERP 5ᵉ catégorie),triennale,personne_competente ou organisme_agree,4,ERP cat. N5,,contexte 1,ARRETE,Arrêté du 1er décembre 2025 modifiant le règlement de sécurité ERP (applicable au 1er juillet 2026),Arrêté 2025-12-01,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053020948,,arretes-modificatifs-erp,retenu,première main,2026-08-26,2026-07-01,"Texte modificateur. Il réécrit PE 4 § 2 — « En cours d'exploitation » devient « Tous les trois ans au plus », et « installations de gaz » est ajouté à la liste — et PE 10. Entrée en vigueur différée au 1er juillet 2026, donc en vigueur à ce jour.",,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
elec-erp-groupe-electrogene-quinzaine,electricite,Vérification des niveaux du groupe électrogène de sécurité (ERP),bimensuelle,exploitant,4,ERP,,fondement,ARRETE,"Arrêté du 25 juin 1980, art. EL 18 § 4 (première périodicité)",EL 18,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000038485456/,2019-07-01,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2019-07-01,,,"« Les groupes électrogènes de sécurité doivent faire l'objet d'un entretien régulier et d'essais selon la périodicité minimale suivante : ― tous les quinze jours, vérification du niveau d'huile, d'eau et de combustible, du dispositif de réchauffage du moteur et de l'état de la source utilisée pour le démarrage (batterie ou air comprimé) […]. » Verbatim confirmé par relecture indépendante le 2026-08-26.",CORPUS_NE_RENVOIE_PAS SANS_VERBATIM
elec-erp-groupe-electrogene-annuel,electricite,Entretien et essais des groupes électrogènes de sécurité (ERP),mensuelle,exploitant ou personne_qualifiee ou organisme_agree,4,ERP,INSTALLATION_ELECTRIQUE.aGroupeElectrogene = true (seulement si),fondement,ARRETE,"Arrêté du 25 juin 1980, art. EL 18 § 4 (entretien et essais des groupes électrogènes de sécurité)",EL 18,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000038485456/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2019-07-01,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
elec-erp-groupe-electrogene-annuel,electricite,Entretien et essais des groupes électrogènes de sécurité (ERP),mensuelle,exploitant ou personne_qualifiee ou organisme_agree,4,ERP,INSTALLATION_ELECTRIQUE.aGroupeElectrogene = true (seulement si),contexte 1,ARRETE,"Arrêté du 25 juin 1980, art. EL 19 (vérification annuelle)",EL 19,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000021231068/,,arrete-1980-livre-2,retenu,agent (verbatim non recoupé),2026-08-26,2010-01-23,,,,SANS_VERBATIM VERSION_JAMAIS_CONSTATEE
